text,label
您的验证码是123456,ham
快递已到达菜鸟驿站取件码8888,ham
妈妈我到了学校,ham
明天下午3点开会请准时,ham
您的订单已发货顺丰单号SF123,ham
今晚回家吃饭吗,ham
您的银行卡消费128元,ham
地铁2号线因故障延误,ham
您的预约已成功,ham
天气明天有雨记得带伞,ham
您的外卖已送达,ham
会议改到402室,ham
您的挂号成功明天9点,ham
水电费账单已出,ham
您的航班CA1234已值机,ham
孩子放学了我去接,ham
您的快递正在派送,ham
银行余额变动通知,ham
您的预约已确认,ham
明天体检空腹,ham
您的订单已签收,ham
地铁1号线正常运行,ham
您的挂号已取消,ham
物业费已缴纳,ham
您的航班延误1小时,ham
周末去爬山吗,ham
您的外卖正在配送,ham
会议取消通知,ham
您的预约已改期,ham
燃气费已扣款,ham
您的火车票已出,ham
晚上加班不回家,ham
您的快递已揽收,ham
公交改线通知,ham
您的挂号提醒,ham
网费已续费,ham
您的航班已登机,ham
明天带伞,ham
您的外卖已取餐,ham
会议记录已发,ham
您的预约提醒,ham
电费已缴纳,ham
您的火车票改签,ham
周末见,ham
您的快递已入库,ham
地铁恢复运营,ham
您的挂号成功,ham
话费已充值,ham
您的航班到达,ham
记得吃药,ham
您的外卖已制作,ham
会议纪要,ham
您的预约成功,ham
水费已缴纳,ham
您的火车票退票,ham
生日快乐,ham
您的快递已出库,ham
公交正常运行,ham
您的挂号取消,ham
宽带已续费,ham
您的航班起飞,ham
注意安全,ham
您的外卖配送中,ham
工作安排,ham
您的预约确认,ham
燃气已缴费,ham
您的火车票成功,ham
新年快乐,ham
您的快递派送中,ham
地铁正常,ham
您的挂号提醒,ham
流量已充值,ham
您的航班准点,ham
早点休息,ham
您的外卖已接单,ham
项目进度,ham
您的预约改期,ham
物业已缴费,ham
您的火车票改签成功,ham
节日快乐,ham
您的快递已签收,ham
公交正常,ham
您的挂号成功,ham
会员已续费,ham
您的航班值机,ham
多喝水,ham
您的外卖已送达门口,ham
周报已提交,ham
您的预约取消,ham
电费已扣款,ham
您的火车票出票,ham
周末愉快,ham
您的快递待取,ham
地铁运行正常,ham
您的挂号已约,ham
话费已到账,ham
您的航班登机,ham
注意保暖,ham
您的外卖骑手已取餐,ham
任务完成,ham
您的预约已约,ham
水费已扣款,ham
您的火车票已取,ham
工作顺利,ham
您的快递已放置,ham
公交运营正常,ham
您的挂号已排,ham
流量已到账,ham
您的航班落地,ham
晚安,ham
您的外卖已放置,ham
日报已发,ham
您的预约已排,ham
燃气已扣款,ham
您的火车票已检,ham
早安,ham
您的快递已通知,ham
地铁准点,ham
您的挂号已确,ham
宽带已到账,ham
您的航班延误,ham
加油,ham
您的外卖已通知,ham
月报已交,ham
您的预约已确,ham
物业已扣款,ham
您的火车票已登,ham
辛苦了,ham
您的快递已提醒,ham
公交准点,ham
您的挂号已提,ham
会员已到账,ham
您的航班取消,ham
谢谢,ham
您的外卖已提醒,ham
计划已发,ham
您的预约已提,ham
电费已到账,ham
您的火车票已退,ham
不客气,ham
您的快递已更新,ham
地铁延误恢复,ham
您的挂号已更,ham
话费已扣款,ham
您的航班改期,ham
收到,ham
您的外卖已更新,ham
总结已写,ham
您的预约已更,ham
水费已到账,ham
您的火车票已改,ham
好的,ham
您的快递已更新状态,ham
