text,label
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005,spam
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet",ham
WINNER!! As a valued network customer you have been selected,spam
Had your mobile 11 months or more? U R entitled to Update to the latest,spam
I'm gonna be home soon and i don't want to talk about this stuff anymore tonight,ham
"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!",spam
I've been searching for the right words to thank you for this breather,ham
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575",spam
Your verification code is 847291,ham
Order #12345 has shipped via UPS tracking 1Z999AA10123456784,ham
Claim your FREE iPhone now click bit.ly/fake,spam
Meeting moved to 3pm in conference room B,ham
Congratulations! You've been selected for a $1000 Walmart gift card,spam
Your appointment is confirmed for Tuesday at 10am,ham
Lowest rate mortgage guaranteed apply now,spam
Dinner at 7? Let me know,ham
You have WON a Nokia 7250i. Call 09061701461 from landline,spam
Your package will arrive tomorrow between 2-4pm,ham
Earn $5000/week working from home,spam
Can you pick up milk on the way home?,ham
URGENT we are trying to contact you. Last weekend's draw shows that you won,spam
Flight AA456 is now boarding at gate 12,ham
Get cheap Cialis online no prescription needed,spam
Thanks for your help today,ham
You are a winner of our £1000 prize draw,spam
Your Uber driver is 2 minutes away,ham
Click here to claim your prize NOW,spam
See you at the gym tomorrow morning,ham
Your account will be suspended verify immediately,spam
The report is ready for review,ham
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005 ref30,spam
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet ref31",ham
WINNER!! As a valued network customer you have been selected ref32,spam
Had your mobile 11 months or more? U R entitled to Update to the latest ref33,spam
I'm gonna be home soon and i don't want to talk about this stuff anymore tonight ref34,ham
"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! ref35",spam
I've been searching for the right words to thank you for this breather ref36,ham
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575 ref37",spam
Your verification code is 847291 ref38,ham
Order #12345 has shipped via UPS tracking 1Z999AA10123456784 ref39,ham
Claim your FREE iPhone now click bit.ly/fake ref40,spam
Meeting moved to 3pm in conference room B ref41,ham
Congratulations! You've been selected for a $1000 Walmart gift card ref42,spam
Your appointment is confirmed for Tuesday at 10am ref43,ham
Lowest rate mortgage guaranteed apply now ref44,spam
Dinner at 7? Let me know ref45,ham
You have WON a Nokia 7250i. Call 09061701461 from landline ref46,spam
Your package will arrive tomorrow between 2-4pm ref47,ham
Earn $5000/week working from home ref48,spam
Can you pick up milk on the way home? ref49,ham
URGENT we are trying to contact you. Last weekend's draw shows that you won ref50,spam
Flight AA456 is now boarding at gate 12 ref51,ham
Get cheap Cialis online no prescription needed ref52,spam
Thanks for your help today ref53,ham
You are a winner of our £1000 prize draw ref54,spam
Your Uber driver is 2 minutes away ref55,ham
Click here to claim your prize NOW ref56,spam
See you at the gym tomorrow morning ref57,ham
Your account will be suspended verify immediately ref58,spam
The report is ready for review ref59,ham
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005 ref60,spam
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet ref61",ham
WINNER!! As a valued network customer you have been selected ref62,spam
Had your mobile 11 months or more? U R entitled to Update to the latest ref63,spam
I'm gonna be home soon and i don't want to talk about this stuff anymore tonight ref64,ham
"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! ref65",spam
I've been searching for the right words to thank you for this breather ref66,ham
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575 ref67",spam
Your verification code is 847291 ref68,ham
Order #12345 has shipped via UPS tracking 1Z999AA10123456784 ref69,ham
Claim your FREE iPhone now click bit.ly/fake ref70,spam
Meeting moved to 3pm in conference room B ref71,ham
Congratulations! You've been selected for a $1000 Walmart gift card ref72,spam
Your appointment is confirmed for Tuesday at 10am ref73,ham
Lowest rate mortgage guaranteed apply now ref74,spam
Dinner at 7? Let me know ref75,ham
You have WON a Nokia 7250i. Call 09061701461 from landline ref76,spam
Your package will arrive tomorrow between 2-4pm ref77,ham
Earn $5000/week working from home ref78,spam
Can you pick up milk on the way home? ref79,ham
URGENT we are trying to contact you. Last weekend's draw shows that you won ref80,spam
